pdb,label,group,fold,set
1arj,3.0,4,5,train
1byj,5.6989700039999995,15,5,train
1f27,6.0,22,5,train
1f1t,7.397940009,18,3,train
1qd3,5.229147988,4,5,train
1fyp,5.602059991,15,5,train
1i9v,3.4659738939999998,0,2,test
1q8n,6.096910013,18,3,train
1uts,7.408935392999999,0,2,test
1uud,5.812479279,1,4,train
1yrj,6.6989700039999995,1,4,train
2bee,7.0,1,4,train
2be0,6.886056647999999,1,4,train
1ykv,5.0,0,2,test
2g5k,6.3010299960000005,18,3,train
2b57,7.769551079,12,1,train
2f4s,4.721246399,1,4,train
2f4t,5.657577319,1,4,train
2g9c,5.6989700039999995,12,1,train
2f4u,5.229147988,1,4,train
2au4,7.124938737000001,0,2,test
2o3w,5.585026652000001,1,4,train
3b31,8.698970004,24,1,train
2o3x,4.3010299960000005,1,4,train
3e5c,9.244125144,0,2,test
3fo4,6.142667503999999,12,1,train
3ger,6.050609992999999,12,1,train
2kgp,6.0,0,2,test
3fu2,7.6989700039999995,0,2,test
3ges,4.6989700039999995,12,1,train
3fo6,4.638272164,12,1,train
3gog,4.619788758,12,1,train
3ds7,4.408935393,12,1,train
3gao,4.408935393,12,1,train
3g4m,5.356547324,12,1,train
3got,5.397940009,12,1,train
3jq4,5.0,0,2,test
3mum,9.677780705,2,5,train
3mxh,10.95860731,2,5,train
3mur,7.823908741,2,5,train
3la5,6.0,12,1,train
2ku0,5.585026652000001,15,5,train
3owz,5.455931956000001,0,2,test
3npn,7.4948500220000005,0,2,test
2kx8,5.199970641,1,4,train
2ktz,5.045757491,15,5,train
2ygh,6.508638306,16,5,valid
2ydh,5.709965389,16,5,valid
2xo1,4.0,12,1,train
2xnz,3.958607315,12,1,train
3q50,8.688246139,0,2,test
3q3z,8.657577319,0,2,test
2l94,3.4436974989999998,1,4,train
2xnw,3.4317982760000003,12,1,train
3slm,3.42136079,0,2,test
2xo0,4.0969100130000005,12,1,train
3s4p,6.0,1,4,train
4aob,6.30980392,16,5,valid
4fe5,6.135488919,12,1,train
4erj,2.508638306,19,4,valid
2lwk,4.296708622,1,4,train
4erl,3.244125144,19,4,valid
4jf2,7.747146969,24,1,train
4kqy,7.721246399,16,5,valid
4oqu,6.387216143,13,5,train
4lvz,6.3010299960000005,27,3,train
4nyg,5.823908741,5,5,train
4nyb,3.987162775,5,5,train
4lvy,3.958607315,27,3,train
4lvx,4.744727495,27,3,train
4qln,5.537602002000001,8,3,test
4lx5,6.671620397000001,12,1,train
4nyc,3.5528419689999997,5,5,train
4qk8,6.522878745,8,3,test
4qk9,6.522878745,8,3,test
4nya,4.30980392,5,5,train
4w90,7.274905479,8,3,test
4ts0,6.27572413,9,3,valid
4ts2,6.27572413,9,3,valid
4qlm,7.1804560639999995,8,3,test
4lvw,4.1804560639999995,27,3,train
4nyd,3.173925197,5,5,train
4l81,5.13667714,13,5,train
4lw0,5.0969100130000005,27,3,train
4lvv,5.0177287669999995,27,3,train
4lx6,7.022276395,12,1,train
4yb0,6.031517051,2,5,train
4xwf,5.966576245,0,2,test
4znp,5.327902142,0,2,test
5c7u,7.37675071,12,1,train
5btp,6.312471039,0,2,test
5c7w,7.318758763,12,1,train
2mxs,5.292429824,1,4,train
4rzd,8.187086642999999,0,2,test
4yaz,7.175874166,2,5,train
2n0j,6.48148606,1,4,train
5lwj,5.543178652000001,1,4,train
5kpy,5.408935392999999,12,1,train
5uee,3.698970004,1,4,train
5v3f,8.522878745,0,2,test
6dmc,6.292429824,0,2,test
6c65,9.045757491,23,3,train
6c63,8.958607315,23,3,train
6c64,8.853871964,23,3,train
6ck4,5.744727495,0,2,test
6ck5,5.6989700039999995,6,4,train
6fz0,5.359518563,22,5,train
6dlt,4.227678293,6,4,train
6e84,5.853871964,14,2,valid
6e8t,8.769551079,34,3,train
6qn3,3.721246399,0,2,test
6e8s,8.638272164,34,3,train
6hmo,4.552841969,1,4,train
6hag,5.431798276,0,2,test
6p2h,7.468521083,12,1,train
6e81,5.522878745,14,2,valid
6e8u,8.337242168,34,3,train
6hbt,5.327902142,1,4,train
